POS,PLAYER,Against,Venue,Match Date,BF,6s,4s,Runs,Season
1,Jonny Bairstow,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,52,7,12,114,2019
2,Sanju Samson,SRH,Rajiv Gandhi Intl. Cricket Stadium,2019-03-29,54,4,10,102,2019
3,David Warner,RCB,Rajiv Gandhi Intl. Cricket Stadium,2019-03-31,54,5,5,100,2019
4,Virat Kohli,KKR,Eden Gardens,2019-04-19,57,4,9,100,2019
5,Ajinkya Rahane,DC,Sawai Mansingh Stadium,2019-04-22,58,3,11,105,2019
6,KL Rahul,MI,Wankhede Stadium,2019-04-10,63,6,6,100,2019
1,Shane Watson,SRH,Wankhede Stadium,2018-05-27,51,8,11,117,2018
2,Shane Watson,RR,Maharashtra Cricket Association's International Stadium,2018-04-20,51,6,9,106,2018
3,Rishabh Pant,SRH,Feroz Shah Kotla Ground,2018-05-10,56,7,15,128,2018
4,Chris Gayle,SRH,IS Bindra Stadium,2018-04-19,58,11,1,104,2018
5,Ambati Rayudu,SRH,Maharashtra Cricket Association's International Stadium,2018-05-13,62,7,7,100,2018
1,David Warner,KKR,Rajiv Gandhi Intl. Cricket Stadium,2017-04-30,43,8,10,126,2017
2,Hashim Amla,MI,Holkar Cricket Stadium,2017-04-20,58,6,8,104,2017
3,Hashim Amla,GL,IS Bindra Stadium,2017-05-07,59,5,8,104,2017
4,Ben Stokes,GL,Maharashtra Cricket Association's International Stadium,2017-05-01,61,6,7,103,2017
5,Sanju Samson,RPS,Maharashtra Cricket Association's International Stadium,2017-04-11,62,5,8,102,2017
1,AB de Villiers,GL,M. Chinnaswamy Stadium,2016-05-14,43,12,10,129,2016
2,Virat Kohli,KXIP,M. Chinnaswamy Stadium,2016-05-18,47,8,12,113,2016
3,Quinton de Kock,RCB,M. Chinnaswamy Stadium,2016-04-17,48,3,15,108,2016
4,Virat Kohli,GL,M. Chinnaswamy Stadium,2016-05-14,53,8,5,109,2016
5,Steve Smith,GL,Maharashtra Cricket Association's International Stadium,2016-04-29,53,5,8,101,2016
6,Virat Kohli,RPS,M. Chinnaswamy Stadium,2016-05-07,56,7,8,108,2016
7,Virat Kohli,GL,Saurashtra Cricket Association Stadium,2016-04-24,63,1,11,100,2016
1,Chris Gayle,KXIP,M. Chinnaswamy Stadium,2015-05-06,46,12,7,117,2015
2,AB de Villiers,MI,Wankhede Stadium,2015-05-10,47,4,19,133,2015
3,Brendon McCullum,SRH,Chidambaram,2015-04-11,56,9,7,100,2015
4,Shane Watson,KKR,Brabourne Stadium,2015-05-16,57,5,9,104,2015
1,Wriddhiman Saha,KKR,M. Chinnaswamy Stadium,2014-06-01,49,8,10,115,2014
2,Virender Sehwag,CSK,Wankhede Stadium,2014-05-30,50,8,12,122,2014
3,Lendl Simmons,KXIP,IS Bindra Stadium,2014-05-21,61,2,14,100,2014
1,Chris Gayle,PWI,M. Chinnaswamy Stadium,2013-04-23,30,17,13,175,2013
2,David Miller,RCB,IS Bindra Stadium,2013-05-06,38,7,8,101,2013
3,Suresh Raina,KXIP,Chidambaram,2013-05-02,53,6,7,100,2013
4,Shane Watson,CSK,Chidambaram,2013-04-22,60,6,6,101,2013
1,Murali Vijay,DC,Chidambaram,2012-05-25,51,4,15,113,2012
2,David Warner,DEC,Rajiv Gandhi Intl. Cricket Stadium,2012-05-10,52,7,10,109,2012
3,Rohit Sharma,KKR,Eden Gardens,2012-05-12,52,5,12,109,2012
4,Chris Gayle,DC,Feroz Shah Kotla Ground,2012-05-17,53,13,7,128,2012
5,Ajinkya Rahane,RCB,M. Chinnaswamy Stadium,2012-04-15,58,5,12,103,2012
6,Kevin Pietersen,DEC,Feroz Shah Kotla Ground,2012-04-19,64,9,6,103,2012
1,Chris Gayle,KXIP,M. Chinnaswamy Stadium,2011-05-06,46,9,10,107,2011
2,Virender Sehwag,DEC,Rajiv Gandhi Intl. Cricket Stadium,2011-05-05,48,6,13,119,2011
3,Paul Valthaty,CSK,IS Bindra Stadium,2011-04-13,52,2,19,120,2011
4,Adam Gilchrist,RCB,HPCA Stadium,2011-05-17,53,9,8,106,2011
5,Chris Gayle,KKR,Eden Gardens,2011-04-22,55,7,10,102,2011
6,Sachin Tendulkar,KTK,Wankhede Stadium,2011-04-15,66,3,12,100,2011
1,Yusuf Pathan,MI,Brabourne Stadium,2010-03-13,37,8,9,100,2010
2,Murali Vijay,RR,Chidambaram,2010-04-03,46,11,8,127,2010
3,Mahela Jayawardene,KKR,Eden Gardens,2010-04-04,55,3,14,110,2010
4,David Warner,KKR,Feroz Shah Kotla Ground,2010-03-29,66,5,9,107,2010
1,Manish Pandey,DEC,Supersport Park,2009-05-21,67,4,10,114,2009
1,Adam Gilchrist,MI,DY Patil Stadium,2008-04-27,42,10,9,109,2008
2,Sanath Jayasuriya,CSK,Wankhede Stadium,2008-05-14,45,11,9,114,2008
3,Andrew Symonds,RR,Rajiv Gandhi Intl. Cricket Stadium,2008-04-24,47,7,11,117,2008
4,Michael Hussey,KXIP,IS Bindra Stadium,2008-04-19,50,9,8,116,2008
5,Brendon McCullum,RCB,M. Chinnaswamy Stadium,2008-04-18,53,13,10,158,2008
6,Shaun Marsh,RR,IS Bindra Stadium,2008-05-28,58,7,11,115,2008
